Date,Open,High,Low,Close,Volume,Adj Close
4/23/2012,66.85,66.85,66,66.1,1183200,54.282
4/20/2012,66.65,66.85,66.5,66.8,1149300,54.856
4/19/2012,66.25,66.75,65.85,66.75,1539200,54.815
4/18/2012,66.5,66.5,66.2,66.5,2135600,54.61
4/17/2012,66.15,66.4,65.45,66,1532200,54.2
4/16/2012,65.9,66.25,65.6,66.2,1247300,54.364
4/13/2012,65.95,66.1,65.5,65.6,1963600,53.871
4/12/2012,65.85,65.9,65.1,65.55,2873200,53.83
4/11/2012,66.2,66.2,65.3,65.45,3034000,53.748
4/10/2012,66.45,66.75,65.6,65.8,2355200,54.035
4/9/2012,66.85,66.85,66.85,66.85,0,54.898
4/6/2012,66.85,66.85,66.85,66.85,0,54.898
4/5/2012,66.6,67.1,66.3,66.85,1768400,54.898
4/4/2012,66.8,66.8,66.8,66.8,0,54.856
4/3/2012,67.4,67.4,66.35,66.8,1926800,54.856
4/2/2012,67.2,67.2,66.35,67.05,2146800,55.062
3/30/2012,67.4,67.4,66.2,67,3407600,55.021
3/29/2012,67.15,67.25,66.4,67.2,1478100,55.185
3/28/2012,67.15,67.45,66.7,67.45,2320200,55.39
3/27/2012,66.3,67.1,66.2,67,1885100,55.021
3/26/2012,65.95,66.25,65.4,65.85,1816400,54.076
3/23/2012,65.9,66,65.5,65.5,2740500,53.789
3/22/2012,66.25,66.9,66.1,66.4,1924000,54.528
3/21/2012,66.35,66.55,65.9,66,2001800,54.2
3/20/2012,67.4,67.4,65.65,66.3,3386400,54.446
3/19/2012,67.95,68,66.95,67.05,2327900,55.062
3/16/2012,67.95,68.15,67.2,67.8,2639600,55.678
3/15/2012,68.25,68.25,67,67.7,2530500,55.596
3/14/2012,68.3,68.4,67.6,68.25,2383500,56.047
3/13/2012,67.8,68.25,67.5,68.05,1724700,55.883
3/12/2012,67.4,67.5,66.8,67.45,2299700,55.39
3/9/2012,67.55,67.9,66.65,67.55,4420100,55.472
3/8/2012,67.85,69,67.85,68.95,5064600,55.834
3/7/2012,67.45,68.6,67.35,68.35,3651800,55.348
3/6/2012,68.1,68.5,67.5,67.95,3345400,55.024
3/5/2012,67.8,68.1,67.5,67.9,3496600,54.983
3/2/2012,68.9,68.95,68,68.2,2832100,55.226
3/1/2012,68.15,68.9,68.15,68.8,2897800,55.712
2/29/2012,67.75,68.75,67.25,68.5,5723100,55.469
2/28/2012,66.15,67.6,66.1,67.35,3860800,54.538
2/27/2012,66.15,66.9,66,66.15,2805200,53.566
2/24/2012,66.15,66.55,65.8,66.45,2527300,53.809
2/23/2012,66.15,66.45,66,66.15,2339500,53.566
2/22/2012,66.45,66.5,66.1,66.5,2214800,53.85
2/21/2012,65.45,66.55,65.4,66.5,4447500,53.85
2/20/2012,65.25,65.6,65.15,65.4,2369200,52.959
2/17/2012,65.2,65.45,65.05,65.25,2132500,52.838
2/16/2012,65.3,65.3,64.6,65.15,2284400,52.757
2/15/2012,64.6,65.3,64.6,65.15,4434700,52.757
2/14/2012,64.7,64.8,64.4,64.65,2648100,52.352
2/13/2012,64.3,64.7,64.1,64.7,3210400,52.392
2/10/2012,63.35,64.25,63.3,64.05,4090000,51.866
2/9/2012,63.4,63.8,63.25,63.6,2614300,51.501
2/8/2012,63.9,63.9,63.4,63.65,3242700,51.542
2/7/2012,63,63.65,63,63.6,2929300,51.501
2/6/2012,63.55,63.6,62.95,63,3601200,51.016
2/3/2012,63.3,63.65,63,63.1,4510200,51.097
2/2/2012,63.5,63.75,63.2,63.35,5566500,51.299
2/1/2012,63.8,63.9,63.5,63.75,2458100,51.623
1/31/2012,64.45,64.55,63.4,63.5,5726500,51.42
1/30/2012,63.35,64.2,63.05,64,4713700,51.825
1/27/2012,62.15,63.4,62.15,63,5608700,51.016
1/26/2012,62.95,63,62.15,62.45,5318400,50.57
1/25/2012,62.75,62.75,62.75,62.75,0,50.813
1/24/2012,62.75,62.75,62.75,62.75,0,50.813
1/23/2012,62.75,62.75,62.75,62.75,0,50.813
1/20/2012,62.65,63.4,62.15,62.75,4282800,50.813
1/19/2012,62.75,62.9,62.1,62.3,6216400,50.449
1/18/2012,64.1,64.45,62.65,62.95,5555300,50.975
1/17/2012,63.5,64.2,63.3,64.1,3724000,51.906
1/16/2012,64,64.05,63.2,63.25,3848800,51.218
1/13/2012,64.5,64.9,64,64.1,5008300,51.906
1/12/2012,65.7,65.9,64.5,64.85,6619000,52.514
1/11/2012,66.35,66.55,65.8,65.9,2637600,53.364
1/10/2012,66.5,66.7,66.1,66.7,1935600,54.012
1/9/2012,66.5,66.5,65.95,66.45,1690300,53.809
1/6/2012,66.4,66.55,65.75,66.5,3259700,53.85
1/5/2012,66.4,66.4,65.9,66.35,1100800,53.728
1/4/2012,66.45,66.5,65.8,66.3,2809000,53.688
1/3/2012,66.5,66.85,65.8,66.2,1826500,53.607
1/2/2012,66.05,66.05,66.05,66.05,0,53.485
12/30/2011,65.45,66.15,65.45,66.05,1204900,53.485
12/29/2011,65.8,65.8,65.35,65.5,1665800,53.04
12/28/2011,65.75,65.9,65.35,65.55,1654800,53.08
12/27/2011,66.05,66.05,66.05,66.05,0,53.485
12/26/2011,66.05,66.05,66.05,66.05,0,53.485
12/23/2011,66.2,66.3,65.8,66.05,974900,53.485
12/22/2011,65.75,66.1,65.65,65.9,1650400,53.364
12/21/2011,65.5,66.15,65.4,65.75,1555500,53.242
12/20/2011,65.2,66.2,65.1,65.6,1527000,53.121
12/19/2011,65.2,65.7,65,65.3,2321100,52.878
12/16/2011,65.2,66.7,65.2,66.05,2943700,53.485
12/15/2011,65.7,66,65.25,65.25,2883700,52.838
12/14/2011,65.5,66.5,65.5,66.25,3092600,53.647
12/13/2011,65.75,66,65.55,65.75,2608400,53.242
12/12/2011,67.1,67.1,66,66.1,2011500,53.526
12/9/2011,67.05,67.4,66.6,66.6,2489100,53.931
12/8/2011,67,67.65,67,67.5,1711700,54.66
12/7/2011,66.95,67.85,66.75,67.3,2614400,54.498
12/6/2011,67,67.55,66.65,66.75,2287500,54.052
12/5/2011,67.9,67.9,67.4,67.6,2053100,54.741
12/2/2011,68,68.2,67.25,67.4,4472600,54.579
12/1/2011,68.35,68.85,68.05,68.6,5224300,55.129
11/30/2011,68.3,68.65,68,68.25,4662900,54.848
11/29/2011,69.4,69.4,68.85,69,2072100,55.451
11/28/2011,69.65,69.9,69.05,69.1,1344300,55.531
11/25/2011,69.1,69.55,68.8,69.2,1107700,55.611
11/24/2011,69.1,69.75,68.9,69.6,2149500,55.933
11/23/2011,69.7,69.75,69.05,69.45,2246900,55.812
11/22/2011,69.05,69.8,69,69.4,2881700,55.772
11/21/2011,67.65,68.85,67.65,68.75,2100600,55.25
11/18/2011,68.8,68.8,68.05,68.2,2726900,54.808
11/17/2011,68,68.8,68,68.3,1770100,54.888
11/16/2011,69.1,69.1,68.2,68.35,1786300,54.928
11/15/2011,68.8,69.05,68.4,68.6,2975900,55.129
11/14/2011,69.7,69.85,68.45,68.8,4501500,55.29
11/11/2011,69.05,69.7,68.75,69,1751900,55.451
11/10/2011,69.65,69.65,69,69.2,3760200,55.611
11/9/2011,69.3,70.1,69.3,70,3128500,56.254
11/8/2011,71,71.4,69.8,70.35,2444300,56.536
11/7/2011,70.25,70.95,70.2,70.9,1912300,56.978
11/4/2011,70.75,70.8,70,70.7,2411700,56.817
11/3/2011,70.2,70.3,69.5,69.75,2497200,56.053
11/2/2011,70.3,71,69.5,70.8,3413100,56.897
11/1/2011,68.9,70.4,68.9,69.7,3084600,56.013
10/31/2011,69.2,70.5,69.2,69.55,3147100,55.893
10/28/2011,70.1,70.1,69,69.75,5776800,56.053
10/27/2011,70.25,70.75,69.55,69.85,4412100,56.134
10/26/2011,69.8,71.4,69.8,70.85,1723700,56.937
10/25/2011,70.4,70.85,69.65,70.7,2759200,56.817
10/24/2011,70,71.2,70,70.95,2392900,57.018
10/21/2011,69.05,70.3,69.05,70.2,1492900,56.415
10/20/2011,70.1,70.2,69,69.5,1866400,55.852
10/19/2011,69.3,70.45,68.5,70.25,3963000,56.455
10/18/2011,68.1,68.95,67.75,68.8,3250800,55.29
10/17/2011,68.5,69.35,68,68.45,3457400,55.009
10/14/2011,67.75,68.8,67.75,68.3,2341000,54.888
10/13/2011,68,68.15,67.15,67.9,5876900,54.567
10/12/2011,69.25,69.65,67.25,67.9,6371200,54.567
10/11/2011,70.85,70.95,69,69.2,2892300,55.611
10/10/2011,69.85,70.65,69.5,70.35,2131700,56.536
10/7/2011,69.5,70,69,69.9,2559800,56.174
10/6/2011,69.8,70,67.9,69.95,6054100,56.214
10/4/2011,69.75,70.8,68.1,68.45,5679000,55.009
10/3/2011,69.75,71,68,70,7015100,56.254
9/30/2011,70.55,71.55,69.9,70.55,6808700,56.696
